category,title,kJ,rate
bread,Tesco Finest Farmhouse White Bread 800G,1005,0.17
bread,Tesco Medium Sliced White Loaf 800G,975,0.09
bread,Tesco Soft White Bread Medium 800G,1045,0.13
bread,Tesco Soft White Bread Thick 800G,1045,0.13
bread,Tesco Stay Fresh White Medium Bread 800G,1040,0.08
bread,Tesco Thick Sliced White Loaf 800G,975,0.09
bread,Tesco Value Medium Sliced White Bread 800G,980,0.06
bread,Tesco Value Thick Sliced White Bread 800G,980,0.06
bread,Wheatfield Baker Soft White Farmhouse Batch 800G,1005,0.11
bread,Bakers Soft Wholemeal Medium 800G,930,0.13
bread,Bakers Soft Wholesome White Medium 800G,950,0.13
bread,Tesco Finest Farmhouse Multigrain Batch Bread 800G,1100,0.17
bread,Tesco Finest Farmhouse Multiseed Batch Bread 800G,1020,0.17
bread,Tesco Finest Farmhouse Oatmeal Batch Bread 800G,1020,0.17
bread,Tesco Finest Farmhouse Stoneground Wholemeal 800G,895,0.17
bread,Tesco Stay Fresh Wholemeal Medium Bread 800G,990,0.08
bread,Tesco Value Medium Sliced Wholemeal Bread 800G,925,0.06
bread,Tesco Wholemeal Medium Sliced Loaf 800G,925,0.09
bread,Tesco Wholemeal Thick Sliced Loaf 800G,925,0.09
bread,Schneiderbrot Vollkornbrot Rye Bread 500G,788,0.25
bread,Tesco White Thick Sliced Danish Loaf 400G,1035,0.15
cereals,Alpen High Fruit 650G,1439,0.4
cereals,Alpen No Added Sugar 1.3Kg,1488,0.31
cereals,Alpen No Added Sugar 560G,1488,0.46
cereals,Alpen Original 1.5Kg,1509,0.27
cereals,Alpen Original Muesli 750G,1509,0.35
cereals,Country Barn Cereal Flakes And Red Berries 375G,1550,0.4
cereals,Country Barn Special Flakes 500G,1570,0.3
cereals,Dorset Cereals Honey Granola 600G,,0.67
cereals,Dorset Chocolate And Macadamia Granola 600G,,0.67
cereals,Dorset Fruity And Toasted Muesli 660G,,0.61
cereals,Dorset Honest Crunch Strawberry And Raspberry 375G,,0.48
cereals,Dorset Honest Crunch Toffee And Pecan 375G,,0.53
cereals,Dorset Simply Fruity Muesli 820G,,0.34
cereals,Dorset Toasted Spelt Flakes 690G,,0.58
cereals,Nestle Oats And More Almond Cereal 425G,1679,0.49
cereals,Nestle Oats And More Honey Cereal 400G,1588,0.56
cereals,Nestle Oats More Raisin Cereal 425G,1563,0.49
cereals,Nestle Shredded Wheat 16'S 360G,1443,0.47
cereals,Nestle Shredded Wheat 30'S 675G,1443,0.38
cereals,Rude Health Early Bird Organic Muesli 500G,1431,0.56
cereals,Shredded Wheat Bitesize 500G,1461,0.2
cereals,T *Finest Fruit And Nut Muesli 750G,1625,0.29
cereals,Tesco Bran Flakes 1Kg Bigger Pack Better Value,1405,0.17
cereals,Tesco Bran Flakes 500G,1415,0.25
cereals,Tesco Fruit And Fibre Breakfast Cereal 500G,1550,0.22
cereals,Tesco Fruit And Nut Muesli 750G,1495,0.2
cereals,Tesco Healthy Living Muesli With Cranberries 1Kg,1315,0.22
cereals,Tesco Mini Wheat Pillows 500G,1410,0.26
cereals,Tesco No Added Sugar Salt Swiss Style Muesli 1Kg,1465,0.2
cereals,Tesco Sultana Bran 500G,1375,0.25
cereals,Tesco Sultana Bran 750G,1370,0.21
cereals,Tesco Swiss Style Muesli 1Kg,1480,0.2
cereals,Tesco Value Bran Flakes 750G,1415,0.1
cereals,Tesco Value Muesli 1Kg,1405,0.07
cereals,Tesco Wholefoods Pure Oatbran 500G,1455,0.2
cereals,Tesco Wholewheat Muesli 750G,1410,0.21
cereals,Alpen 10 Pack Lite Summer Fruits Cereal Bars 210G,1222,1.57
cereals,Alpen 10Pk Fruit Nut And Chocolate Cereal Bars 290G,1812,1.14
cereals,Alpen Coconut And Chocolate Cereal Bars 5Pk 145G,1863,1.24
cereals,Alpen Fruit And Nut With Chocolate Cereal Bar 5X29g,1812,1.24
cereals,Alpen Light Bars Chocolate And Orange 5X21g,1246,1.71
cereals,Alpen Light Chocolate And Fudge Bar 5X21g,1264,1.71
cereals,Alpen Light Sultana & Apple Bars 5Pk 105G,1197,1.71
cereals,Alpen Light Summer Fruits Bars 5Pk 105G,1222,1.71
cereals,Alpen Raspberry And Yoghurt Cereal Bars5x29g,1748,1.24
cereals,Alpen Strawberry With Yoghurt Cereal Bar 5X29g,1756,1.24
cereals,Kelloggs Rice Krispie Squares 4 X 28G,,1.6
cereals,Tesco Apple Grain Bars 8Pk 296G,1565,0.49
cereals,Tesco Crispy Marshmallow Squares 4Pk 112G,1760,0.85
cereals,Tesco Crispy Squares Chocolate Chip 4Pk 144G,1890,0.66
cereals,Tesco Finest* 3 Cranberry Blueberry And Almond Bars 3 X 40G,1521,1.5
cereals,Tesco Light Choices 6 Chocolate And Orange Cereal Bars 132G,1625,0.98
cereals,Tesco Light Choices Cranberry & Blackcurrant Cereal Bars 150G,1250,0.91
cereals,Tesco Maple Syrup Granola Bars 6 Pack 252G,2030,0.59
cereals,Tesco Strawberry Grain Bars 8Pk 296G,1480,0.49
cereals,Tesco Value Strawberry And White Chocolate Cereal Bars 125G 6Pk,1695,0.61
cereals,Tesco Value Strawberry Cereal Bar 125G,1570,0.49
cereals,Weetabix Milk Chocolate Oaty Bars 5X23g,1230,1.27
cereals,Weetabix Oaty Bars Toffee 5Pk 115G,1459,1.27
cereals,Weetabix White Chocolate Oaty Bars 5X23g,1226,1.27
cereals,Nestle Cheerios 375G,1562,0.4
cereals,Nestle Cheerios 600G,1562,0.46
cereals,Nestle Chocapic 375G,1616,0.4
cereals,Nestle Coco Shreddies 500G,1521,0.4
cereals,Nestle Cookie Crisp 565G,1589,0.53
cereals,Nestle Cookie Crisp Cereal 375G,1589,0.56
cereals,Nestle Crunch Cereal 375G,1720,0.58
cereals,Nestle Frosted Shreddies 500G,1521,0.4
cereals,Nestle Golden Nuggets 375G,1601,0.56
cereals,Nestle Honey Cheerios 375G,1563,0.53
cereals,Nestle Honey Cheerios 600G,1563,0.45
cereals,Nestle Honey Shreddies 500G,1524,0.4
cereals,Nestle Nesquik Cereal 375G,1608,0.53
cereals,Nestle Shreddies 1Kg,1570,0.32
cereals,Nestle Shreddies 500G,1491,0.4
cereals,Nestle Shreddies 750G,1491,0.36
cereals,Red Lion Malted Wheats 750G,1464,0.24
cereals,Tesco Choco Snaps 375G,1635,0.34
cereals,Tesco Choco Snaps 600G,1630,0.29
cereals,Tesco Frosted Flakes 500G,1625,0.25
cereals,Tesco Frosted Flakes 750G,1620,0.19
cereals,Tesco Malt Wheats 750G,1465,0.2
cereals,Tesco Multigrain Boulders 375G,1590,0.26
cereals,Tesco Multigrain Hoops 375G,1595,0.26
cereals,Tesco Rice Snaps 375G,1635,0.26
cereals,Tesco Rice Snaps 600G,1620,0.28
cereals,Tesco Value Rice Snaps 440G,1595,0.16
cereals,Weetabix Chocolate 24S 540G,1464,0.48
cereals,Weetabix Minis Chocolate 750G,1638,0.36
cereals,Weetabix Minis Chocolate Crisp 450G,1638,0.4
cereals,Weetabix Weetos 500G,1601,0.5
cereals,Weetabix Weetos Aliens 375G,1624,0.53
cereals,Nestle Clusters 435G,,0.47
cereals,Shredded Wheat Blackberry Blackcurrant Blueberry 525G,1472,0.53
cereals,Shredded Wheat Honey Nut 500G,1674,0.2
cereals,Shredded Wheat Raspberry Strawberry And Cranberry 525G,1472,0.53
cereals,Tesco Apricot Wheats 500G,1365,0.36
cereals,Tesco Blueberry Wheats 500G,1355,0.36
cereals,Tesco Cranberry Wheats 500G,1360,0.36
cereals,Tesco Crunchy Oat Cereal With Tropical Fruit 1Kg,1840,0.15
cereals,Tesco Crunchy Oat Crisp Sul/Hon/C/ Almond And Fruit 1Kg,1885,0.16
cereals,Tesco Honey And Nut Cornflakes 500G,1685,0.26
cereals,Tesco Honey And Nut Cornflakes 750G,1670,0.24
cereals,Tesco Maple And Pecan Crisp 500G,1925,0.25
cereals,Tesco Pomegranate And Raspberry Wheats 500G,1355,0.36
cereals,Tesco Strawberry Crisp 500G,1890,0.25
cereals,Weetabix Minis Fruit And Nut Crisp 450G,1578,0.4
cereals,Weetabix Minis Honey And Nut Crisp 450G,1585,0.4
cereals,Flahavans Organic Jumbo Oatlets 1Kg,1613.3,0.23
cereals,Flahavans Organic Porridge Oatlets 1Kg,1613.3,0.21
cereals,Ready Brek Honey 500G,1535,0.38
cereals,Ready Brek Original 750G,1515,0.33
