type,zone,from_station_name,to_station_name,departure,arrival,duration,number_of_halts,distance,speed,departure_days,sunday,monday,tuesday,wednesday,thursday,friday,saturday,classes,first_ac,second_ac,third_ac,first_class,sleeper,chair_car,second_sitting,name
Toy,NFR,Darjeeling,To Darjeeling,10:10,10:10,0,2.0,0.0,,SMTWTFS,T,T,T,T,T,T,T,FC,F,F,F,T,F,F,F,Darjeeling Joyride
Pass,?,Velachery,Chennai Beach,12:40,13:20,0.666666667,15.0,0.0,0.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,VLCY MSB LOCAL
Pass,?,Velachery,Chennai Beach,13:00,13:40,0.666666667,15.0,0.0,0.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Velachery Chennai Local
Pass,?,Velachery,Chennai Beach,19:00,19:40,0.666666667,15.0,0.0,0.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Velachery Chennai Beach Passenger
Toy,NFR,Darjeeling,To Darjeeling,17:49,18:00,0.183333333,2.0,2.0,10.9,SMTWTFS,T,T,T,T,T,T,T,FC,F,F,F,T,F,F,F,Darjeeling Joyride
Toy,NFR,Darjeeling,To Darjeeling,12:36,12:50,0.233333333,2.0,2.0,8.6,SMTWTFS,T,T,T,T,T,T,T,FC,F,F,F,T,F,F,F,Darjeeling Himalayan Toy Train
Toy,NFR,Darjeeling,To Darjeeling,15:16,15:30,0.233333333,2.0,2.0,8.6,SMTWTFS,T,T,T,T,T,T,T,FC,F,F,F,T,F,F,F,Darjeeling Himalayan Toy Train
MEMU,SR,Tiruvallur,Kadambattur,05:50,06:00,0.166666667,1.0,6.0,36.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Tiruvallur Kadambattur EMU
Pass,CR,Badnera Junction,Amravati,01:30,01:45,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Badnera Amravati Passenger
Pass,CR,Amravati,Badnera Junction,02:15,02:30,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Amravati Badnera Passenger
Pass,CR,Amravati,Badnera Junction,04:10,04:25,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Amravati Badnera Passenger
Pass,CR,Badnera Junction,Amravati,06:25,06:40,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Badnera Amravati Passenger
Pass,CR,Amravati,Badnera Junction,07:05,07:20,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Amravati Badnera Passenger
Pass,CR,Badnera Junction,Amravati,11:00,11:15,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Badnera Amravati Passenger
Pass,CR,Amravati,Badnera Junction,11:45,12:00,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Amravati Badnera Passenger
Pass,CR,Badnera Junction,Amravati,18:00,18:15,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Badnera Amravati Mix Passenger
Pass,CR,Amravati,Badnera Junction,18:45,19:00,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Amravati Badnera Passenger
Pass,CR,Badnera Junction,Amravati,19:50,20:05,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Badnera Amravati Passenger
Pass,CR,Amravati,Badnera Junction,20:25,20:40,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Amravati Badnera Passenger
Pass,CR,Badnera Junction,Amravati,22:55,23:10,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Badnera Amravati Passenger
Pass,CR,Amravati,Badnera Junction,23:40,23:55,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Amravati Badnera Passenger
MEMU,CR,Badnera Junction,Amravati,01:30,01:45,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Badnera Amravati Passenger
Pass,ER,Jasidih Junction,Baidyanathdham Deoghar,22:50,23:05,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,JASIDIH BAIDYANATH PASS
Pass,ER,Baidyanathdham Deoghar,Jasidih Junction,23:30,23:45,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,BAIDYANATH JASIDIH PASS
MEMU,ER,Jasidih Junction,Baidyanathdham Deoghar,12:26,12:45,0.316666667,1.0,6.0,18.9,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Jasidih Baidyanathdham Passenger
MEMU,ER,Jasidih Junction,Baidyanathdham Deoghar,05:50,06:10,0.333333333,1.0,6.0,18.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Jasidih Baidyanathdham Passenger
Pass,?,Jasidih Junction,Baidyanathdham Deoghar,08:25,08:45,0.333333333,1.0,6.0,18.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,JASIDIH BAIDYANATH PASS
Pass,?,Baidyanathdham Deoghar,Jasidih Junction,09:30,09:50,0.333333333,1.0,6.0,18.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,BAIDYANATH JASIDIH PASS
Pass,?,Jasidih Junction,Baidyanathdham Deoghar,10:00,10:20,0.333333333,1.0,6.0,18.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,JASIDIH BAIDYANATH PASS
Pass,ER,Baidyanathdham Deoghar,Jasidih Junction,10:50,11:10,0.333333333,1.0,6.0,18.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,BAIDYANATH JASIDIH PASS
Pass,?,Baidyanathdham Deoghar,Jasidih Junction,15:30,15:50,0.333333333,1.0,6.0,18.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,BAIDYANATH JASIDIH PASS
Pass,?,Jasidih Junction,Baidyanathdham Deoghar,16:40,17:00,0.333333333,1.0,6.0,18.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,JASIDIH BAIDYANATH PASS
Pass,ER,Baidyanathdham Deoghar,Jasidih Junction,17:10,17:30,0.333333333,1.0,6.0,18.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,BAIDYANATH JASIDIH PASS
Pass,?,Jasidih Junction,Baidyanathdham Deoghar,17:45,18:05,0.333333333,1.0,6.0,18.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,JASIDIH BAIDYANATH PASS
Pass,ER,Baidyanathdham Deoghar,Jasidih Junction,18:25,18:45,0.333333333,1.0,6.0,18.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,BAIDYANATH JASIDIH PASS
Pass,?,Jasidih Junction,Baidyanathdham Deoghar,19:50,20:10,0.333333333,1.0,6.0,18.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,JASIDIH BAIDYANATH PASS
Pass,ER,Baidyanathdham Deoghar,Jasidih Junction,20:30,20:50,0.333333333,1.0,6.0,18.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,BAIDYANATH JASIDIH PASS
Hyd,SCR,Secunderabad Junction,Hyderabad Deccan Nampally,05:10,05:35,0.416666667,5.0,8.0,19.2,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Secunderabad Hyderabad MMTS
Pass,CR,Badnera Junction,Amravati,03:20,03:35,0.25,0.0,9.0,36.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Badnera Amravati Passenger
Pass,NCR,Hathras Kila,Hathras Junction,16:05,16:30,0.416666667,0.0,9.0,21.6,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Kila Hathras Passenger
Pass,NCR,Hathras Junction,Hathras Kila,08:50,09:15,0.416666667,0.0,9.0,21.6,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Hathras Kila Passenger
Pass,ER,Jamalpur Junction,Munger,17:50,18:18,0.466666667,1.0,9.0,19.3,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,JAMALPUR MONGHYAR PASS
MEMU,SR,Avadi,Pattabiram East,02:55,03:15,0.333333333,2.0,10.0,30.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Avadi Pattabiram East EMU
MEMU,?,Pattabiram East,Avadi,23:35,23:55,0.333333333,2.0,10.0,30.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Pattabiram East Avadi EMU
Pass,?,Tinpahar Junction,Rajmahal,06:03,06:28,0.416666667,0.0,11.0,26.4,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Tinpahar Rajmahal Pass
Pass,?,Rajmahal,Tinpahar Junction,02:00,02:25,0.416666667,0.0,11.0,26.4,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Rajmahal Tinpahar Passenger
Pass,?,Rajmahal,Tinpahar Junction,06:48,07:13,0.416666667,0.0,11.0,26.4,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Rajmahal Tinpahar Passenger
Pass,?,Tinpahar Junction,Rajmahal,16:20,16:45,0.416666667,0.0,11.0,26.4,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Tinpahar Rajmahal Pass
Pass,?,Tinpahar Junction,Rajmahal,21:30,21:55,0.416666667,0.0,11.0,26.4,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Tinpahar Rajmahal Pass
Pass,ER,Rajmahal,Tinpahar Junction,20:00,20:25,0.416666667,0.0,11.0,26.4,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Rajmahal Tinpahar Passenger
